14,15,10,11
15,16,11,12
15,16,19,20
30,31,26,27
56,57,60,61
56,57,52,53
57,58,61,62
57,58,53,54
59,60,55,56
60,61,56,57
60,61,58,59
62,63,66,67
63,64,67,68
66,67,62,63
68,69,64,65
69,70,65,66
71,72,69,70
50,59,54,55
51,60,54,57
52,61,56,57
54,63,58,59
56,65,58,63
57,66,60,63
38,56,46,48
39,57,47,49
45,63,53,55
55,73,63,65
56,74,64,66
57,75,65,67
5,32,17,20
15,42,27,30
26,53,38,41
29,56,41,44
30,57,42,45
31,58,43,46
32,59,44,47
33,60,45,48
40,67,52,55
55,82,67,70
57,84,69,72
60,87,72,75
6,42,22,26
7,43,23,27
8,44,24,28
25,61,41,45
26,62,42,46
27,63,43,47
28,64,44,48
29,65,45,49
35,71,51,55
36,72,52,56
53,89,69,73
54,90,70,74
55,91,71,75
56,92,72,76
57,93,73,77
2,47,22,27
3,48,23,28
25,70,45,50
26,71,41,56
26,71,46,51
27,72,47,52
